date,rating,content,product_url
19 jan. 2025,5,"Uso muito no verão e atende bem a minha expectativa , sem precisar de tintura.",https://www.mercadolivre.com.br/loco-camomila-intea-clareadora-cabelo-louro-natural-100-ml/p/MLB19971648
24 dez. 2023,5,"Produto excelente, amei.",https://www.mercadolivre.com.br/absolut-repair-gold-quinoa-mascara-golden-500ml-serie-expert-loreal-professionnel/p/MLB19156464?product_trigger_id=MLB17378279
22 nov. 2024,5,Maravilhosa as ampolas.,https://www.mercadolivre.com.br/cronograma-capilar-brae-repair-reparaco-3x13ml/p/MLB19540098
23 mai. 2024,5,Perfeito. P pentear.,https://www.mercadolivre.com.br/elseve-creme-para-pentear-cachos-longos-dos-sonhos-250ml/p/MLB19792948
02 dez. 2020,5,"Muito bom um pouco caro.
Obrigado.",https://produto.mercadolivre.com.br/MLB-1425282096-shamp-john-frieda-brilhant-brunette-colour-protecting-kit-2-_JM
19 out. 2023,2,"Pra mim, não serviu de absolutamente nada. O cheiro sai em 5 min, não diminui o fritz.",https://www.mercadolivre.com.br/bye-bye-volume-e-no-frizz-liso-magico-200ml-forever-liss/p/MLB19314365
19 jun. 2023,4,Produto deixa a raiz do cabelo oleosa impossibilitando usar durante o dia.,https://produto.mercadolivre.com.br/MLB-1414951805-kit-4-und-sanctio-nanoformulacao-antiqueda-capilar-yeva-20ml-_JM
09 jun. 2024,5,Otimo !!.,https://www.mercadolivre.com.br/creme-de-pentear-meu-cacho-minha-vida-500g-lola-cosmetics/p/MLB19515198
29 jul. 2024,5,"Mto bom, deixa os cabelos macios.",https://produto.mercadolivre.com.br/MLB-1962728712-kit-cronograma-capilar-itallaintrivittinnovatorextremeup-_JM
24 jul. 2024,5,Nasceu cabelo até em lugares improváveis.,https://www.mercadolivre.com.br/imecap-hair-cabelos-e-unhas-pague-60-e-leve-90-capsulas/p/MLB28575276
11 nov. 2024,5,,https://www.mercadolivre.com.br/shampoo-condicionador-efeito-antigrisalho-tio-nacho-415ml/p/MLB38427752
